Election Type,Year,Ward,Party,Representative,Number of votes,Turnout,% of vote,Elected
Local,2018,Halton View,Conservative and Unionist Party,Duncan James Robert Harper,250,27.77,9.4,
Local,2018,Halton View,Labour,Tom McInerney,1139,27.77,42.8,E
Local,2018,Halton View,Labour,Louise Whitley,990,27.77,37.2,E
Local,2018,Heath,Conservative,Ian John Adams,265,35.62,16,
Local,2018,Heath,Labour,Irene Bramwell,555,35.62,33.5,
Local,2018,Heath,UKIP,Dave Myers,102,35.62,6.2,
Local,2018,Heath,Liberal Democrats,Chris Rowe,735,35.62,44.4,E
Local,2018,Hough Green,UKIP,Thomas Michael Glynn,127,24.7,10,
Local,2018,Hough Green,Labour,Phil Harris,896,24.7,70.6,E
Local,2018,Hough Green,Conservative and Unionist Party,Joanne Lesley Mclean,247,24.7,19.4,
Local,2018,Kingsway,UKIP,Brad Bradshaw,74,22.66,6.7,
Local,2018,Kingsway,Conservative,Paul David Griffiths,113,22.66,10.2,
Local,2018,Kingsway,Labour,June Roberts,918,22.66,83.1,E
Local,2018,Mersey,Conservative and Unionist Party,Daniel David Clarke,205,24.09,16,
Local,2018,Mersey,Labour,Rosie Leck,845,24.09,65.8,E
Local,2018,Mersey,UKIP,Glyn Redican,85,24.09,6.6,
Local,2018,Mersey,Liberal Democrats,Joanne Rowe,150,24.09,11.7,
Local,2018,Norton North,Conservative,Sian Fiona Alexandra Davidson,302,28.3,21.3,
Local,2018,Norton North,Liberal Democrats,Diane Marie Inch,326,28.3,23,
Local,2018,Norton North,Labour,Peter Lloyd Jones,791,28.3,55.7,E
Local,2018,Norton South,Conservative,Adam Robert Burnett,148,23.04,13.8,
Local,2018,Norton South,Liberal Democrats,Miriam Lorraine Hodge,36,23.04,3.3,
Local,2018,Norton South,Labour,Martha Lloyd Jones,892,23.04,82.9,E
